,frequence,amplitude
454,肺癌无法手术应该如何治疗？不想化疗？怕副作用da,http://ask.globecancer.com/q-331.html
455,求推荐拓姆刀治疗专家和医院,http://ask.globecancer.com/q-403.html
456,拓姆刀治疗肺癌的优势是什么？,http://ask.globecancer.com/q-401.html
457,什么肺癌患者可以选择拓姆刀治疗,http://ask.globecancer.com/q-402.html
458,拓姆刀治疗肺癌一点副作用都没有吗？,http://ask.globecancer.com/q-400.html
459,拓姆刀治疗肺癌需要多少钱？,http://ask.globecancer.com/q-399.html
460,拓姆刀能治愈癌症吗,http://ask.globecancer.com/q-395.html
461,国际上最好的拓姆刀医院求推荐？,http://ask.globecancer.com/q-398.html
462,网上把拓姆刀说的这么神奇，求教实际效果,http://ask.globecancer.com/q-396.html
463,你的微信号，我要确认下,http://ask.globecancer.com/q-1589.html
464,肺癌患者的饮食营养,http://ask.globecancer.com/q-1600.html
465,肿瘤患者专属饮食营养指导手册/肿瘤患者常见的四大营养误区！,http://ask.globecancer.com/article-15570.html
466,为什么肿瘤病人在吃西柚是对口服靶向药物的“增毒剂”？,http://ask.globecancer.com/article-15577.html
467,肺癌患者能否吃海鲜？,http://ask.globecancer.com/q-446.html
468,肺癌患者只吃素食是不是对治疗效果有帮助,http://ask.globecancer.com/q-445.html
469,肺癌患者可以吃糖吗,http://ask.globecancer.com/q-444.html
470,虫草对肺癌患者有用吗？,http://ask.globecancer.com/q-443.html
471,灵芝孢子粉对肺癌患者有用吗？,http://ask.globecancer.com/q-442.html
472,市面上有哪些保健品有抗癌效果？,http://ask.globecancer.com/q-441.html
473,肺癌患者吃什么食物有利于癌症治疗呢,http://ask.globecancer.com/q-440.html
474,家人肺癌，目前没有任何治疗，怎样调节饮食？,http://ask.globecancer.com/q-439.html
475,肺癌患者正在化疗，食欲不好，怎样补充饮食？,http://ask.globecancer.com/q-438.html
476,肺癌患者手术后怎样补充营养和饮食呢,http://ask.globecancer.com/q-437.html
477,全球首个MET靶向药capmatinib获得优先审批资格！,http://ask.globecancer.com/article-15632.html
478,国内第七款免疫检查点抑制剂上市！完全缓解率61.5%创新高！,http://ask.globecancer.com/article-15607.html
479,很多肺癌患者首发症状是咳嗽，别拖到晚期才去找医生,http://ask.globecancer.com/article-15578.html
480,放疗联合免疫，点燃肺癌患者的希望之火（二）,http://ask.globecancer.com/article-15569.html
481,放疗联合免疫，点燃肺癌患者的希望之火（一）,http://ask.globecancer.com/article-15568.html
482,肺癌患者胸膜转移是不是晚期了，还有治疗药物吗？,http://ask.globecancer.com/q-556.html
483,网上有通过胸水提取免疫细胞培养，回输治疗胸水，效果怎样？,http://ask.globecancer.com/q-555.html
484,姑姑肺癌转移已经引起胸水了，呼吸有点困难,http://ask.globecancer.com/q-554.html
485,姑姑肺癌转移已经引起胸水了，呼吸有点困难，哪个医院治疗胸水有经验？,http://ask.globecancer.com/q-552.html
486,家人胸膜转移，已经有胸水了，医生说治疗效果不好，有好办法吗,http://ask.globecancer.com/q-551.html
487,ct发现胸膜发现有转移，化疗有效吗,http://ask.globecancer.com/q-550.html
488,2020年最新癌症靶向，免疫治疗药物临床试验招募信息汇总！,http://ask.globecancer.com/article-15593.html
489,2020年最新癌症靶向，免疫治疗药物临床试验招募信息汇总！,http://ask.globecancer.com/article-15591.html
490,非小细胞肺癌治疗的靶点有哪些,http://ask.globecancer.com/q-1449.html
491,美国已上市的各类癌症药物更新汇总（2020版！）,http://ask.globecancer.com/article-15644.html
492,硼中子俘获疗法(BNCT)适合哪些患者呢?,http://ask.globecancer.com/q-1423.html
493,2020肺癌靶向治疗最新进展盘点/肺癌相关靶点/肺癌靶点对应药物/EGFR靶向治疗/ALK的靶向药/,http://ask.globecancer.com/article-15639.html
494,2020年五大抗癌新药即将上市，您别错过！,http://ask.globecancer.com/article-15643.html
495,2020肺癌靶向治疗最新进展盘点/肺癌相关靶点/肺癌靶点对应药物/EGFR靶向治疗/ALK的靶向药/,http://ask.globecancer.com/article-15639.html
496,非小细胞肺癌患者迎来暖春！五款重磅新疗法即将上市,http://ask.globecancer.com/article-15681.html
497,美国国立卫生研究院：关于癌症靶向治疗，十件事，靶向治疗与化疗区别/靶向治疗分类/各个癌肿靶向药物/靶,http://ask.globecancer.com/article-15666.html
498,肺癌9大靶点全面解读及对应靶向药物方案盘点！（2020版）,http://ask.globecancer.com/article-15662.html
499,"小细胞肺癌免疫疗法,小细胞肺癌免疫治疗药物Atezolizumab(阿替利珠单抗、Tecentriq",http://ask.globecancer.com/article-15651.html
500,2020年五大抗癌新药即将上市，您别错过！,http://ask.globecancer.com/article-15643.html
501,肺癌基因突变靶点及相关靶向药物,http://ask.globecancer.com/q-1433.html
502,首位中国患者入组！Optune+化疗进军中国胃癌的一线治疗​！,http://ask.globecancer.com/article-15665.html
503,国内溶瘤病毒制剂T601临床试验都招募哪些癌症患者？,http://ask.globecancer.com/q-2081.html
504,国内有免费的溶瘤病毒制剂T601临床试验可以参加吗？,http://ask.globecancer.com/q-2080.html
505,溶瘤病毒制剂T601是如何杀灭肿瘤细胞的？,http://ask.globecancer.com/q-2078.html
506,溶瘤病毒制剂T601都能治疗哪些癌症？,http://ask.globecancer.com/q-2077.html
507,AB-106对克唑替尼耐药的非小细胞肺癌脑转移患者效果如何？,http://ask.globecancer.com/q-1956.html
508,国内有AB-106同类药物或者仿制药物吗？,http://ask.globecancer.com/q-1955.html
509,AB-106有什么副作用？,http://ask.globecancer.com/q-1954.html
510,国内患者怎样报名参加AB-106的临床试验？,http://ask.globecancer.com/q-1953.html
511,国内AB-106临床试验都招募哪些癌症患者？,http://ask.globecancer.com/q-1952.html
512,国内有免费的AB-106临床试验可以参加吗？,http://ask.globecancer.com/q-1951.html
513,如果NTRK或ROS1基因检测没有突变怎么办？能盲试吗？,http://ask.globecancer.com/q-1950.html
514,哪个公司检测NTRK或ROS1基因更准确？,http://ask.globecancer.com/q-1949.html
515,使用AB-106需要做哪些检测？,http://ask.globecancer.com/q-1948.html
516,AB-106是针对哪种基因突变的？,http://ask.globecancer.com/q-1947.html
517,AB-106在中国上市了吗？在哪里可以买到？,http://ask.globecancer.com/q-1946.html
518,在哪里能买到扛癌药,http://ask.globecancer.com/q-1607.html
519,哪些非小细胞肺癌患者适合接受靶向治疗,http://ask.globecancer.com/q-1450.html
520,什么是非小细胞肺癌的靶向治疗,http://ask.globecancer.com/q-1447.html
521,肺癌肺癌症状,http://ask.globecancer.com/q-1599.html
522,AB-106对克唑替尼耐药的非小细胞肺癌脑转移患者效果如何？,http://ask.globecancer.com/q-1956.html
523,国内有AB-106同类药物或者仿制药物吗？,http://ask.globecancer.com/q-1955.html
524,AB-106有什么副作用？,http://ask.globecancer.com/q-1954.html
525,国内患者怎样报名参加AB-106的临床试验？,http://ask.globecancer.com/q-1953.html
526,国内AB-106临床试验都招募哪些癌症患者？,http://ask.globecancer.com/q-1952.html
527,国内有免费的AB-106临床试验可以参加吗？,http://ask.globecancer.com/q-1951.html
528,如果NTRK或ROS1基因检测没有突变怎么办？能盲试吗？,http://ask.globecancer.com/q-1950.html
529,哪个公司检测NTRK或ROS1基因更准确？,http://ask.globecancer.com/q-1949.html
530,使用AB-106需要做哪些检测？,http://ask.globecancer.com/q-1948.html
531,AB-106是针对哪种基因突变的？,http://ask.globecancer.com/q-1947.html
532,AB-106在中国上市了吗？在哪里可以买到？,http://ask.globecancer.com/q-1946.html
533,AB-106有国产药吗？,http://ask.globecancer.com/q-1945.html
534,AB-106多少钱？是否可以社保报销？,http://ask.globecancer.com/q-1944.html
535,早期和晚期癌症都能使用AB-106吗？,http://ask.globecancer.com/q-1943.html
536,AB-106的治疗效果和治疗数据怎么样？,http://ask.globecancer.com/q-1942.html
537,哪些非小细胞肺癌患者适合参与伯瑞替尼临床试验？,http://ask.globecancer.com/q-2072.html
538,伯瑞替尼对MET突变非小细胞肺癌的控制率有多高？,http://ask.globecancer.com/q-2071.html
539,伯瑞替尼治疗c-MET异常的晚期非小细胞肺癌效果咋样？,http://ask.globecancer.com/q-2070.html
540,国内有治疗MET突变晚期非小细胞肺癌的靶向药吗？,http://ask.globecancer.com/q-2069.html
541,国内有伯瑞替尼同类药物或者仿制药物吗？,http://ask.globecancer.com/q-2068.html
542,伯瑞替尼有什么副作用？,http://ask.globecancer.com/q-2067.html
543,国内患者怎样报名参加伯瑞替尼的临床试验？,http://ask.globecancer.com/q-2066.html
544,国内伯瑞替尼临床试验都招募哪些癌症患者？,http://ask.globecancer.com/q-2065.html
545,国内有免费的伯瑞替尼临床试验可以参加吗？,http://ask.globecancer.com/q-2064.html
546,如果c-Met基因检测没有突变怎么办？能盲试吗？,http://ask.globecancer.com/q-2063.html
547,哪个公司检测c-Met基因更准确？,http://ask.globecancer.com/q-2062.html
548,使用伯瑞替尼需要做哪些检测？,http://ask.globecancer.com/q-2061.html
549,伯瑞替尼是针对哪种基因突变的？,http://ask.globecancer.com/q-2060.html
550,伯瑞替尼在中国上市了吗？在哪里可以买到,http://ask.globecancer.com/q-2059.html
551,伯瑞替尼有国产药吗？,http://ask.globecancer.com/q-2058.html
552,AMG-510对KRAS突变的非小细胞肺癌的控制率有多高？,http://ask.globecancer.com/q-2100.html
553,有AMG-510同类药物或者仿制药物吗？,http://ask.globecancer.com/q-2099.html
554,AMG-510都有什么不良反应？,http://ask.globecancer.com/q-2098.html
555,国内患者怎样报名参加AMG-510的临床试验？,http://ask.globecancer.com/q-2097.html
556,国内AMG-510临床试验都招募哪些癌症患者？,http://ask.globecancer.com/q-2096.html
557,国内有免费的AMG-510临床试验可以参加吗？,http://ask.globecancer.com/q-2095.html
558,如果KRAS突变检测没有突变怎么办？能盲试吗？,http://ask.globecancer.com/q-2094.html
559,哪个公司检测KRAS突变更准确？,http://ask.globecancer.com/q-2093.html
560,使用AMG-510需要做哪些检测？,http://ask.globecancer.com/q-2092.html
561,AMG-510是针对哪种基因突变的？,http://ask.globecancer.com/q-2091.html
562,AMG-510在中国上市了吗？在哪里可以买到？,http://ask.globecancer.com/q-2090.html
563,AMG-510有国产药吗？,http://ask.globecancer.com/q-2089.html
564,AMG-510多少钱？是否可以社保报销？,http://ask.globecancer.com/q-2088.html
565,早期和晚期癌症都能使用AMG-510吗？,http://ask.globecancer.com/q-2087.html
566,AMG-510的治疗效果和治疗数据怎么样？,http://ask.globecancer.com/q-2086.html
567,恩曲替尼对于非小细胞肺癌脑转移患者效果怎么样？,http://ask.globecancer.com/q-1710.html
568,除AB-106外，还有哪些药物可治疗ROS1/NTRK突变？,http://ask.globecancer.com/q-1940.html
569,肝癌病人到北京三甲医院就医建议那个专家比较权威？,http://ask.globecancer.com/q-826.html
570,打破10年魔咒！肝癌一线治疗再出新组合，总生存期大大延长！,http://ask.globecancer.com/article-15461.html
571,宫颈癌残端复发，局部淋巴结转移，是否可以做盆腔廓清术呢？,http://ask.globecancer.com/q-1610.html
572,我父亲肝癌晚期肿瘤肝硬化,http://ask.globecancer.com/q-133.html
573,胆囊癌腺癌伴坏死，还能活多久？,http://ask.globecancer.com/q-138.html
574,医生，为什么肝癌中晚期做化疗后癌细胞总反而变大了？,http://ask.globecancer.com/q-84.html
575,打破10年魔咒！肝癌一线治疗再出新组合，总生存期大大延长！,http://ask.globecancer.com/article-15461.html
576,肝癌中晚期能生存期有多久？治疗的意义大吗？,http://ask.globecancer.com/q-950.html
577,放疗效果怎么样,http://ask.globecancer.com/q-862.html
578,拉罗替尼需要检测什么基因？,http://ask.globecancer.com/q-514.html
579,肝癌在日本有没有好的医院？,http://ask.globecancer.com/q-830.html
580,"胆囊腺癌早期,已经做了切除手术",http://ask.globecancer.com/q-163.html
581,美国已上市的各类癌症药物更新汇总（2020版！）,http://ask.globecancer.com/article-15644.html
582,肝癌晚期，74岁，6月份脑梗一次，仅造成说话困难，目前已经好转，但是总觉得味觉异常，咳嗽，嗓子沙哑,http://ask.globecancer.com/q-80.html
583,肝癌确诊后用药一年半，目前用的索拉菲尼耐药，下一步该怎么办？,http://ask.globecancer.com/q-646.html
584,肝癌病人到北京三甲医院就医建议那个专家比较权威？,http://ask.globecancer.com/q-826.html
585,肝癌病人晚期已经五年了，目前乐伐替尼耐药了，不知道有适合的临床试验吗?,http://ask.globecancer.com/q-956.html
586,乙肝肝硬化导致肝癌能治好吗？,http://ask.globecancer.com/q-1140.html
587,肝癌靶向治疗药物有哪些已经获得批准，在医保呢？,http://ask.globecancer.com/q-1147.html
588,肝癌患者已经用了两次PD1抑制剂是否可以联合细胞免疫？,http://ask.globecancer.com/q-818.html
589,肝癌患者用了PD1后出现了腹泻，身上后很多红色的疹子，没胃口怎么办？,http://ask.globecancer.com/q-821.html
590,"肝癌患者想用PD1,什么样的患者容易发生超进展？",http://ask.globecancer.com/q-912.html
591,pd1免疫抑制能治疗肝癌有效率是多少？,http://ask.globecancer.com/q-1142.html
592,医生你好，我们家人刚确诊肝癌想用PD1 ，但是不知道如何避免发生免疫超进展？,http://ask.globecancer.com/q-931.html
593,攻破实体瘤不是梦！中国CAR-T疗法临床招募实体肿瘤啦！,http://ask.globecancer.com/article-15613.html
594,肝癌病人可以参加CAR-T 临床实验吗？,http://ask.globecancer.com/q-958.html
595,肝癌在使用免疫抑制剂需要注意什么？,http://ask.globecancer.com/q-819.html
596,肝癌病人可以参加CAR-T 临床实验吗？,http://ask.globecancer.com/q-958.html
597,pd1免疫抑制能治疗肝癌有效率是多少？,http://ask.globecancer.com/q-1142.html
598,"胆囊腺癌早期,已经做了切除手术",http://ask.globecancer.com/q-163.html
599,肝癌晚期吃什么好,http://ask.globecancer.com/q-1333.html
600,我父亲肝癌晚期肿瘤肝硬化,http://ask.globecancer.com/q-133.html
601,肝癌中晚期能生存期有多久？治疗的意义大吗？,http://ask.globecancer.com/q-950.html
602,有乙肝病史，做哪些检查可以预防肝癌发生？,http://ask.globecancer.com/q-674.html
603,肝癌吃什么对身体好？,http://ask.globecancer.com/q-677.html
604,肝癌患者已经用了两次PD1抑制剂是否可以联合细胞免疫？,http://ask.globecancer.com/q-818.html
605,肝癌在使用免疫抑制剂需要注意什么？,http://ask.globecancer.com/q-819.html
606,肝癌患者用了PD1后出现了腹泻，身上后很多红色的疹子，没胃口怎么办？,http://ask.globecancer.com/q-821.html
607,肝癌在日本有没有好的医院？,http://ask.globecancer.com/q-830.html
608,肝癌真的很难治吗？特异性T细胞疗法有效摧毁癌细胞！,http://ask.globecancer.com/article-15561.html
609,最新肝癌药物治疗大全,http://ask.globecancer.com/article-15559.html
610,癌症为什么会复发？癌症复发以后怎么办？,http://ask.globecancer.com/article-15491.html
611,"胆囊腺癌早期,已经做了切除手术",http://ask.globecancer.com/q-163.html
612,肝硬化转为肝癌有适合做移植 吗？能治好吗？,http://ask.globecancer.com/q-645.html
613,最新肝癌药物治疗大全,http://ask.globecancer.com/article-15559.html
614,肝癌晚期用哪种治疗方法最有效？,http://ask.globecancer.com/article-15487.html
615,我是肝癌患者，不知道这个病会不会传染给家人呢？,http://ask.globecancer.com/q-680.html
616,肝癌最新免疫治疗进展大盘点！,http://ask.globecancer.com/article-15560.html
617,最新肝癌药物治疗大全,http://ask.globecancer.com/article-15559.html
618,拉罗替尼耐药怎么办,http://ask.globecancer.com/q-621.html
619,关于实体肿瘤TILs疗法的最新研究进展盘点！,http://ask.globecancer.com/article-15497.html
620,怎么能让宫颈癌不复发呢,http://ask.globecancer.com/q-1189.html
621,"肿瘤基因检测费用要多少钱,癌症基因突变检测,肿瘤基因检测有用吗",http://ask.globecancer.com/article-15654.html
622,扩散！免费基因检测机会来了！面向全国患者招募两类癌症患者！,http://ask.globecancer.com/article-15589.html
623,什么是癌症基因检测，癌症为什么要做基因检测,http://ask.globecancer.com/article-15489.html
624,关于实体肿瘤TILs疗法的最新研究进展盘点！,http://ask.globecancer.com/article-15497.html
625,【患者招募】治疗实体肿瘤，试试免疫综合治疗,http://ask.globecancer.com/article-15586.html
626,赵忠祥因癌去世，铺天盖地的文章这篇才是你该看的！,http://ask.globecancer.com/article-15581.html
627,国内患者怎样报名参加溶瘤病毒T601的临床试验？,http://ask.globecancer.com/q-2082.html
628,RX-108是如何发挥抗肿瘤作用的？,http://ask.globecancer.com/q-1996.html
629,RX-108能治疗哪些癌症？,http://ask.globecancer.com/q-1995.html
630,RX-108是一种什么抗癌药物？,http://ask.globecancer.com/q-1994.html
631,国内AB011注射液临床试验都招募哪些癌症患者？,http://ask.globecancer.com/q-1936.html
632,打破10年魔咒！肝癌一线治疗再出新组合，总生存期大大延长！,http://ask.globecancer.com/article-15619.html
633,肝癌晚期吃什么好,http://ask.globecancer.com/q-1333.html
634,有乙肝病史，做哪些检查可以预防肝癌发生？,http://ask.globecancer.com/q-674.html
635,我是肝癌患者，不知道这个病会不会传染给家人呢？,http://ask.globecancer.com/q-680.html
636,肝癌靶向治疗药物有哪些已经获得批准，在医保呢？,http://ask.globecancer.com/q-1147.html
637,继发性晚期肝癌中医治疗怎么样？,http://ask.globecancer.com/q-100.html
638,父亲63岁 肝癌 3月5cm肿瘤做了介入 5月新肿瘤3cm出现做栓住了,http://ask.globecancer.com/q-81.html
639,肝硬化转为肝癌有适合做移植 吗？能治好吗？,http://ask.globecancer.com/q-645.html
640,医生你好，我们家人刚确诊肝癌想用PD1 ，但是不知道如何避免发生免疫超进展？,http://ask.globecancer.com/q-931.html
641,肝癌病人可以用中药治疗吗？,http://ask.globecancer.com/q-1137.html
642,2020年最新癌症靶向，免疫治疗药物临床试验招募信息汇总！,http://ask.globecancer.com/article-15593.html
643,2020年最新癌症靶向，免疫治疗药物临床试验招募信息汇总！,http://ask.globecancer.com/article-15591.html
644,女性感染HPV后会影响到生育吗,http://ask.globecancer.com/q-1439.html
645,肺癌基因突变靶点及相关靶向药物,http://ask.globecancer.com/q-1433.html
646,肿瘤基因检测的类型和适应人群,http://ask.globecancer.com/q-1432.html
647,人民网—古巴成功研制出肺癌疫苗,http://ask.globecancer.com/article-15363.html
648,国内有拉罗替尼同类药物或者仿制药物吗？,http://ask.globecancer.com/q-1692.html
649,针对ROS1基因突变，国内都有哪些药物可以使用？,http://ask.globecancer.com/q-1651.html
650,国产ALK抑制剂CT-707安全吗？,http://ask.globecancer.com/q-1622.html
651,瑞波替尼能治疗哪些癌症？,http://ask.globecancer.com/q-1713.html
652,RX-108是如何发挥抗肿瘤作用的？,http://ask.globecancer.com/q-1996.html
653,RX-108能治疗哪些癌症？,http://ask.globecancer.com/q-1995.html
654,RX-108是一种什么抗癌药物？,http://ask.globecancer.com/q-1994.html
655,国内AB011注射液临床试验都招募哪些癌症患者？,http://ask.globecancer.com/q-1936.html
656,前列腺癌老药新适应症即将获批 但质子治疗才是首选疗法,http://ask.globecancer.com/article-15103.html
657,不可手术的胰头癌患者质子治疗3年后依旧健康生存,http://ask.globecancer.com/article-15110.html
658,肝癌治疗队伍越来越庞大！数据显示：肝癌质子治疗后，70%患者肿瘤消失,http://ask.globecancer.com/article-15089.html
659,2011年确诊IV期肺癌，跨过8年，我是这样赢得胜利的,http://ask.globecancer.com/article-14937.html
660,【MD安德森病理会诊】如何确诊淋巴瘤？没你想的那么简单！,http://ask.globecancer.com/article-15111.html
661,”愈“见奇迹|肉瘤幸存者告诉你，为什么儿童要选择质子治疗？,http://ask.globecancer.com/article-15112.html
662,首批接受质子治疗的患者，因为人生已“输不起”,http://ask.globecancer.com/article-15115.html
663,医生宣布“临床治愈”！实验性药物让九岁女孩逃离癌症魔掌！,http://ask.globecancer.com/article-15116.html
664,超过7000名肿瘤患者使用电场疗法回归正常生活！,http://ask.globecancer.com/article-15117.html
665,梅奥诊所胜利钟声敲响：4岁脑干肿瘤患儿顺利完成质子治疗,http://ask.globecancer.com/article-15119.html
666,膀胱灌注化疗期间，吃不下饭怎么办？,http://ask.globecancer.com/q-1174.html
667,膀胱癌灌注化疗要做几次？,http://ask.globecancer.com/q-1169.html
668,膀胱癌做化疗，药物有效期是多少？,http://ask.globecancer.com/q-1167.html
669,肾癌做手术俩月了，已经做一次化疗了，请问还要做几次？,http://ask.globecancer.com/q-1143.html
670,肾癌术后的患者，还能不能用细胞免疫治疗？,http://ask.globecancer.com/q-650.html
671,今年2月份查出黑色素瘤，之后进行了手术，日常生活应注意哪些问题？,http://ask.globecancer.com/q-183.html
672,黑色素瘤在进行淋巴结清扫后，出现水肿和血肿，该怎么处理？,http://ask.globecancer.com/q-182.html
673,黑色素瘤晚期BRAF-V600E突变，可以使用哪些靶向药进一步治疗？还有什么更好的治疗方法？,http://ask.globecancer.com/q-181.html
674,哥哥IV期黑色素瘤，不能手术切除，该采取什么样的治疗？,http://ask.globecancer.com/q-180.html
675,亲戚黏膜黑色素瘤手术后多久后进行复查，频率是多少？,http://ask.globecancer.com/q-179.html
676,妈妈患乳腺癌后，这是我做的最正确的一件事,http://ask.globecancer.com/article-15071.html
677,滑膜肉瘤五年生存率是多少？,http://ask.globecancer.com/q-1104.html
678,肿瘤患者专属饮食营养指导手册/肿瘤患者常见的四大营养误区！,http://ask.globecancer.com/article-15570.html
679,hpv是可以进行免疫治疗吗？,http://ask.globecancer.com/q-1445.html
680,HPV感染后的治疗,http://ask.globecancer.com/q-1444.html
681,男性也需要接种HPV疫苗吗？,http://ask.globecancer.com/q-1443.html
682,HPV传播途径,http://ask.globecancer.com/q-1437.html
683,HPV 疫苗都有哪些？,http://ask.globecancer.com/q-1438.html
684,如果已经感染HPV病毒的女性可以打宫颈癌疫苗吗,http://ask.globecancer.com/q-1440.html
685,什么样的人群适合接种HPV疫苗,http://ask.globecancer.com/q-1442.html
686,注射HPV疫苗安全吗？,http://ask.globecancer.com/q-1441.html
687,女性感染HPV后会影响到生育吗,http://ask.globecancer.com/q-1439.html
688,什么是hpv,http://ask.globecancer.com/q-1436.html
689,超过7000名肿瘤患者使用电场疗法回归正常生活！,http://ask.globecancer.com/article-15117.html
690,肝癌最好的治疗方案,http://ask.globecancer.com/q-117.html
691,"肾癌介入治疗,消融治疗",http://ask.globecancer.com/article-15265.html
692,"肾癌介入治疗,肝转移灶栓塞",http://ask.globecancer.com/article-15264.html
693,"肾癌介入治疗,肺转移灶栓塞",http://ask.globecancer.com/article-15263.html
694,肾癌介入治疗栓塞治疗,http://ask.globecancer.com/article-15262.html
695,胰腺癌的介入治疗包含什么？,http://ask.globecancer.com/article-15211.html
696,肝癌介入疗法的适应症,http://ask.globecancer.com/article-15189.html
697,胃 癌 的 介 入 治 疗的适应症？,http://ask.globecancer.com/article-15172.html
698,史上最全的关于自体免疫细胞治疗肿瘤技术科普问答,http://ask.globecancer.com/article-14948.html
699,【质子治疗】肝癌质子治疗6个月 肿瘤明显缩小,http://ask.globecancer.com/article-15090.html
700,2019肝癌药物治疗大全（化疗、靶向、免疫怎么选）,http://ask.globecancer.com/article-15139.html
701,胰腺癌的影像检查,http://ask.globecancer.com/article-15199.html
702,胰腺癌的超声内镜介绍,http://ask.globecancer.com/article-15200.html
703,胰腺癌的手术治疗,http://ask.globecancer.com/article-15328.html
704,晚期膀胱癌五年生存率是多少？,http://ask.globecancer.com/q-1192.html
705,腹股沟淋巴结肿大是复发吗？,http://ask.globecancer.com/q-1159.html
706,肾癌四期都有哪些好的方法？,http://ask.globecancer.com/q-1101.html
707,四期肾癌靶向药治疗有多大把握？,http://ask.globecancer.com/q-1092.html
708,四期肾癌有什么好的治疗方法吗？,http://ask.globecancer.com/q-1088.html
709,胰腺癌晚期怎么治疗,http://ask.globecancer.com/q-683.html
710,白血病的分类,http://ask.globecancer.com/article-15330.html
711,胰腺癌的高危因素和主要的临床表现？,http://ask.globecancer.com/article-15198.html
712,胰腺癌的鉴别诊断,http://ask.globecancer.com/article-15326.html
713,前列腺癌的检查,http://ask.globecancer.com/article-15317.html
714,脑胶质瘤的基础介绍,http://ask.globecancer.com/article-15313.html
715,膀胱癌的危险因素,http://ask.globecancer.com/article-15256.html
716,乳腺癌的都有哪些种类,http://ask.globecancer.com/article-15215.html
717,胰腺癌的影像检查,http://ask.globecancer.com/article-15199.html
718,胰腺癌的介绍,http://ask.globecancer.com/article-15197.html
719,什么是溶瘤病毒？,http://ask.globecancer.com/q-2073.html
720,国内有免费的瑞波替尼临床试验可以参加吗？,http://ask.globecancer.com/q-1721.html
721,使用瑞波替尼需要做哪些检测？,http://ask.globecancer.com/q-1720.html
722,国内患者怎样报名参加恩曲替尼的临床试验？,http://ask.globecancer.com/q-1707.html
723,使用恩曲替尼需要做哪些检测？,http://ask.globecancer.com/q-1704.html
724,恩曲替尼在中国上市了吗？在哪里可以买到？,http://ask.globecancer.com/q-1702.html
725,早期和晚期癌症都能使用恩曲替尼吗？,http://ask.globecancer.com/q-1699.html
726,如果NTRK基因检测没有突变怎么办？能盲试吗？,http://ask.globecancer.com/q-1687.html
727,哪个公司检测NTRK基因更准确？,http://ask.globecancer.com/q-1686.html
728,使用拉罗替尼需要做哪些检测？,http://ask.globecancer.com/q-1685.html
729,国内患者如何接受瑞波替尼治疗？,http://ask.globecancer.com/q-1672.html
730,ROS1基因突变如何检测更准确？,http://ask.globecancer.com/q-1656.html
731,国内患者如何接受恩曲替尼治疗？,http://ask.globecancer.com/q-1647.html
732,国内患者如何接受拉罗替尼治疗？,http://ask.globecancer.com/q-1644.html
733,哪些肿瘤能用拉罗替尼治疗？,http://ask.globecancer.com/q-1642.html
734,AB011注射液是如何发挥抗肿瘤作用的？,http://ask.globecancer.com/q-1933.html
735,结直肠癌有望添新靶向药！BRAF突变新疗法获FDA优先审查,http://ask.globecancer.com/article-15476.html
736,结直肠癌有望添新靶向药！BRAF突变新疗法获FDA优先审查,http://ask.globecancer.com/article-15476.html
737,国内患者怎样报名参加RX-208的临床试验？,http://ask.globecancer.com/q-2010.html
738,国内RX-208临床试验都招募哪些癌症患者？,http://ask.globecancer.com/q-2009.html
739,国内有免费的RX-208临床试验可以参加吗？,http://ask.globecancer.com/q-2007.html
740,使用RX-208需要做哪些检测？,http://ask.globecancer.com/q-2006.html
741,RX-208能治疗哪些癌症？,http://ask.globecancer.com/q-2004.html
742,RX-208是一种什么抗癌药物？,http://ask.globecancer.com/q-2003.html
743,甲状腺结节有恶性的可能，不手术行不行,http://ask.globecancer.com/q-728.html
744,有哪些检查可以排查出是否有患甲状腺癌的可能性,http://ask.globecancer.com/q-727.html
745,甲状腺癌是什么原因导致的，要怎么预防,http://ask.globecancer.com/q-726.html
746,甲状腺癌术后饮食要注意什么,http://ask.globecancer.com/q-725.html
747,甲状腺癌手术后容易复发吗,http://ask.globecancer.com/q-724.html
748,甲状腺癌会遗传吗？,http://ask.globecancer.com/q-723.html
749,甲状腺癌治愈效果怎么样,http://ask.globecancer.com/q-710.html
750,儿童肿瘤存活率增至90%，但增加的长期副作用如何避免？,http://ask.globecancer.com/article-15458.html
751,直肠癌转移肝，医生要求肝肠切除,http://ask.globecancer.com/q-12.html
752,直肠癌转移肝，医生要求肝肠切除,http://ask.globecancer.com/q-12.html
753,医生你好，我刚做完结肠癌手术，想问一下平时饮食上要注意什么,http://ask.globecancer.com/q-21.html
754,67岁女前几天检查出直肠癌应该是晚期,http://ask.globecancer.com/q-29.html
755,美国已上市的各类癌症药物更新汇总（2020版！）,http://ask.globecancer.com/article-15644.html
756,全国治疗结直肠癌哪家医院最好？,http://ask.globecancer.com/q-643.html
757,国内结直肠癌靶向药物都有哪些？,http://ask.globecancer.com/q-642.html
758,治疗结直肠癌的靶向药物有哪些,http://ask.globecancer.com/q-641.html
759,肠癌有必要做全基因测序吗？,http://ask.globecancer.com/q-112.html
760,2020年，美国NCCN结肠癌治疗指南出炉！不去看医生，也能知道用药方案,http://ask.globecancer.com/article-15609.html
761,2020最新肺癌NCCN指南出炉！所有可用靶向药、基因突变靶点都列全了,http://ask.globecancer.com/article-15601.html
